business_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday
AZUCA3oiGou2wLnAYG1P6g,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0
kKx8iCJkomVQBdWHnmmOiA,None,None,None,None,None,None,None
B5EZlEDH6AVDk8tQGHAGqg,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:30,10:0-2:30,10:0-17:0
bOOgAB_CEWWsxalAthnRSw,8:0-22:0,None,20:0-22:0,20:0-22:0,20:0-22:0,20:0-22:0,20:0-22:0
l5ijDMpYdyKbF0CxiCVO_Q,9:0-22:0,9:0-22:0,9:0-22:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-22:0
nJ3mXjItS8WcwhYbzbfDQw,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-15:0,None
NoxzrJbWS4xD9ft0ygD3JA,None,16:0-14:30,16:0-14:30,16:0-14:30,16:0-14:30,16:0-14:30,None
VXH7zXcZzXlmAVN8GSjGRQ,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,11:0-22:0,11:0-22:0
8XQmnE-v6RrsHiqEz6QXdg,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,10:30-14:0
YhV93k9uiMdr3FlV4FHjwA,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,9:0-15:0,None
w5WBrukfSuEyTjYUYlV4Ug,None,None,None,None,None,None,None
aFBCmJUYrPeol_P75QX7Jw,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,16:0-0:0,16:0-23:0
F0fEKpTk7gAmuSFI0KW1eQ,None,None,None,None,None,None,None
dA7KJReGl9PMi3Tg_mBHuw,None,None,None,None,None,None,None
GX83LORhO99mdNFz9_cZdQ,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,None,None
YvxQOMstU2MVDr2uNHs_vw,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
NVaM_cKKJT3WWyP21PANzw,None,None,None,None,None,None,None
dTWfATVrBfKj7Vdn0qWVWg,11:0-21:0,None,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
HAX1zec191t7QkT2sBZ76A,None,None,None,None,None,None,None
HcEJ2YiSLX_mT3RE0hvKWQ,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,15:0-2:0
VZ37HCZVruFm-w_Mkl1aEQ,11:0-21:0,11:0-21:0,13:0-21:0,13:0-21:0,9:0-16:0,9:0-12:30,None
zdC6e26U7tS1XtWcJPKCcA,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-13:0,None,None
VdlPZg2NAu8t8GkdbPLecg,None,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
c6Q3HP4cmWZbD9GX8kr4IA,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-18:0,9:0-16:0
c7X2SdKxVJMaOnFROO8WEg,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,None
1nhf9BPXOBFBkbRkpsFaxA,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-2:0,11:0-2:0,11:0-23:0
strJsTvTHqWS18GVJQEHoA,6:0-19:0,7:0-19:0,6:0-19:0,7:0-19:0,6:0-19:0,None,None
e3rNvRnupvSMu6BABlDUuQ,6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0
QkG3KUXwqZBW18A9k1xqCA,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
d2HSFutxpaYsCPglJPRe1Q,None,None,None,None,None,None,None
shNBn6mTKxZ124yPC_H02Q,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
ZmMCgM4RCqCXJ0Lswu6yxw,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-18:0,None
evwSIx2mmvpN0V0QteOAsA,None,None,None,None,None,None,None
pR6Fy9cP3oAzM_DtloLV5w,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,None,None
sJ0MYSAIVK28cMzh-s-NPA,None,None,None,None,None,None,None
gSr8zPc8M4eTxwGgPb5AsA,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-12:0,None
oB5KH-jYU93w-QnHas6EMA,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,12:0-18:0
gIVjdDWRnS1yDVpPF3oUeg,11:0-2:0,11:0-2:0,11:0-2:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-2:0
veXxt8rGY_RJPpA5QkHT9Q,16:0-1:0,16:0-1:0,16:0-1:0,16:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0
T5CdfrZWw-uW9Y5L_sddqQ,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-22:0,12:0-22:0,None
RV_NgH8wT1TuOs2qNt1WDg,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,10:0-18:0
5XejqzaFmtkZMstJS5Iy-w,10:0-15:0,10:0-15:0,10:0-15:0,10:0-15:0,10:0-15:0,10:0-15:0,10:0-15:0
7SBM_0TcfYTs2oMD-vgaQA,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,8:0-18:0,8:0-18:0,None
Wpt0sFHcPtV5MO9He7yMKQ,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
ZvvX30vgzBD2Ezd1zM33IQ,None,None,None,None,None,None,None
0953KSZ26LmJ7CDacVzpYg,9:30-22:30,9:30-22:30,9:30-22:30,9:30-22:30,9:0-22:30,9:0-22:30,9:30-22:30
DAG8irsIf0hMsEgDbrOE_A,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-18:0,None
WUiDaFQRZ8wKYGLvmjFjAw,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:30,11:0-22:30,11:0-21:30
nAFI7JZEhmvUKMKSA_5Chg,8:0-1:0,8:0-1:0,8:0-1:0,8:0-3:0,8:0-3:0,8:0-3:0,9:0-23:0
5q6Xh-UcJa78bp6dzyaE7w,6:0-15:0,6:0-15:0,6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,6:0-15:0
h2XsV6mR6c7QURhlsi0RqA,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0
MTH-AcNyWfsBa9sXp04HcQ,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-22:0,10:0-22:0,10:0-21:0
M5jiUpAuliJtCYOF0cI3wA,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-16:0,None
nigYwB_m1TQ1WosjSWi-Hw,None,None,None,None,None,None,None
W1Yr6c2XDx_RBjb6WsV-aQ,11:0-15:0,11:0-15:0,11:0-15:0,16:0-20:0,11:0-15:0,10:0-16:0,10:0-16:0
oZBISmgb-GjOdj-ik8UfjA,None,None,None,None,None,None,None
SJAggfn8ta7XLD98XD2mkw,None,None,None,None,None,None,None
OcUVZniPo7CnIG-Tv83XcQ,8:30-18:0,8:30-18:0,8:30-18:0,8:30-18:0,8:30-18:0,None,None
o8cX77mJ1nHMMo0URPS5bg,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-19:0
x5s5yvoI3QFLBZE6JNNhyg,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,None
EXsmUB2mJyJsCpCV-56Ujw,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0
NC03ZDFpIYpEi2aiFTmGPg,None,None,None,None,None,None,None
AR6mrWO89rq-ku_t_E71AA,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0,18:0-3:0
KX_4sldJKgkEWaYVfSWjwQ,None,None,None,None,None,None,None
WSZL9uQ9JMOrrulMKEl7Tw,18:30-0:0,18:30-0:0,18:30-0:0,18:30-0:0,18:30-1:0,13:30-1:0,13:30-0:0
CfEJGhzBFkWKoe-UTT2jiw,None,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-18:0,12:0-17:0
vzx1WdVivFsaN4QYrez2rw,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0
-McKyjNSqS1h9dDJH3dyUA,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0
z0BQG6LJOmd8E7cNuMtH0A,None,None,None,None,None,None,None
y7g-pgAFx37vKytP5oRD0Q,None,8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0,None
iOudjMD1sFvD9QTltPQiTg,None,None,None,None,None,None,None
aWnASLfWj1G6ptH4SR5RRA,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
v3tBN6s8BhotnjA7GncQnQ,7:0-19:30,7:0-19:30,7:0-19:30,7:0-19:30,7:0-19:30,9:0-13:0,9:0-13:0
AVtMhvR_3bhL9VkRrAG6dQ,6:0-17:0,6:0-17:0,6:0-17:0,6:0-17:0,6:0-17:0,None,None
PJ-VbAtIOso1dqd2frQqqg,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
JmKgz6n7zn24F-WkgT-kiA,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,None
mtTxLi9CZNOsDqOTJH3pQw,None,None,None,None,None,None,None
zV_aclADLjx2KOql9F_FTw,None,None,None,None,None,None,None
DCQ3qzzmsm1JZxvW8-bCgQ,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,10:0-19:0
yh-NN-dCaxxleNcI-_bsUA,None,None,None,None,None,None,None
8GL63JMAiD0mI-Z1Y-kT2Q,None,None,None,None,None,None,None
EiZYdEo9p2K6r6CnZ5gqsw,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
bA21m-qbgN_GNR6g-AlfYw,10:45-21:30,10:45-21:45,10:45-21:45,10:45-21:45,10:45-22:30,10:30-22:30,10:45-22:30
lZ18HyZhfrrN_VAJIpyhxQ,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-18:0,11:0-17:0
xMP2oDrKFqyUrN0Uww85EQ,None,None,None,None,None,None,None
pOyt4Fon5n783Jc-hrSq-A,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-18:0,None
Pp_ca_wyn1vsKBNR94ZRXw,None,None,None,None,None,None,None
sG3jr8wLMpncvwvu8JM1Dw,10:0-18:0,10:0-18:0,10:0-18:0,10:0-21:0,10:0-21:0,10:0-17:0,None
d7AtQMYDUh40DeJinidFNQ,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0
aLM-0HupwCE5r7bMIcQ2TQ,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,7:30-12:0,None
cYuGJKCCazgCnsGGlBxaEQ,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-16:0,9:0-15:0
z1hRMOmEvw7jx4cq4-8Yfw,None,None,None,None,None,None,None
vIAQV1_p48AsKP-B9iULwg,10:0-18:0,10:0-19:0,10:0-18:0,10:0-19:0,10:0-16:0,10:0-16:0,None
UlI0TksGFiIXtcbtg2KalQ,8:0-1:0,8:0-1:0,8:0-1:0,8:0-1:0,8:0-1:0,8:0-1:0,8:0-0:0
98YzjvO45DRRvqrNv0hhAA,None,None,None,None,None,None,None
Kul8tFT48hZQJkeNK5jLBQ,6:0-5:30,6:0-5:30,6:0-5:30,6:0-5:30,6:0-5:30,6:0-5:30,6:0-5:30
uZd7UVMib1EYUFFbfWkGdw,None,None,None,None,None,None,None
cehTmoCXPi0a3FwCE3Tq2Q,None,None,None,None,None,None,None
Uy3_5nLo3sYkAuSX6mjdmg,None,None,None,None,None,None,None
mLP-jIIRdoaYM7fJqqFurw,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
GDOAg680Gmi6S1MlhU7B1g,7:0-3:0,7:0-3:0,7:0-3:0,7:0-3:0,7:0-4:0,7:0-4:0,7:0-3:0
2v-8QQfMLX2PCz-0S6gISQ,10:30-0:0,10:30-0:0,10:30-0:0,10:30-0:0,10:30-2:0,10:30-2:0,10:30-0:0
t8yi2l7pZF43Rlf9_lHdDA,11:0-22:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,12:0-0:0,0:0-21:0
AXb5gCwqHl-_v6ZIMb1mXQ,None,None,None,None,None,None,None
XSrN9gtLHC8MtUnSobZfDQ,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-0:0,10:0-0:0,12:0-20:0
5GAXZ7gJ81TSR0-Q6AMp_A,10:30-18:0,10:30-18:0,10:30-18:0,10:30-19:0,10:30-19:0,11:0-17:0,None
HyE2qiMaz7HMJWDhunHA4A,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,None,None
Vl9UFifPCWTGKdogF5gnvw,None,None,None,None,None,None,None
XG0twdTiMzUS3v3p9OZbJA,None,None,None,None,None,None,None
htKaC4cHY4wlB4Wqb8CDnQ,None,None,None,None,None,None,None
Q1MzgzH263RgYX4TU4xQ2Q,12:0-17:0,12:0-17:0,12:0-17:0,12:0-17:0,12:0-17:0,12:0-17:0,None
kyXEnWKQGWSThY6EcjORuw,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
M3uV9Y3EDSpy9d4YwyNSAQ,None,16:0-23:0,16:0-23:0,16:0-23:0,16:0-0:0,16:0-0:0,16:0-23:0
swZaqSjwq4UF8QhEtacx5A,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0
P5TLch0Fu9p3o6W2hRSz0g,None,None,None,None,None,None,None
1cLXGXThDYZ5WK_KpBLtkw,9:0-20:0,None,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0
KVPGEIZb0i5EBYOrlMOziQ,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0
onb5syYKz4Wf3cwQWuqv1A,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,None
7m9ux0KgTe2NwUU0XA_9xQ,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,7:30-16:0,None
4SBY4CHiMD8YOCEU9_fdnw,8:0-19:0,8:0-19:0,8:0-19:0,8:0-19:0,8:0-19:0,10:0-18:0,None
VWNvhS3kUYU9qxiFudb6Ag,None,None,None,None,None,None,None
JdzoBklGL66IPFxGkJ2lQA,None,10:0-19:0,10:0-19:0,10:0-19:0,10:0-20:0,10:0-20:0,10:0-17:0
Muk-jU2W2x1D__h0pCXhbw,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
JX3ivaSLYcAmDS0HmLOxiA,None,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-16:0,None
JsQ_hJoHzEcXp209LI1t_g,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0
LOeVGnlOti05f86ZZbgY7Q,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,None,None
oMH0Ac-Pke2Ph4btOXiQuw,None,None,None,None,None,None,None
nSD-uxCMb745bH3dxoko9Q,7:0-1:30,7:0-1:30,7:0-1:30,7:0-1:30,7:0-2:30,7:0-2:30,7:0-1:30
stDINY-WbudvOK9kfCX9Hw,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-18:0
rasO0zMTS6uw-LX9IFbfSw,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
NXoGguzSd3DrsaGRIQXLpg,7:30-17:0,7:30-17:0,7:30-17:0,7:30-19:0,7:30-19:0,7:30-17:0,None
2eU7ltXoQ2U7SyLhuY9Vxw,None,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0
2Hv5ELUYvnkZtCLZaBhTcw,None,None,18:30-20:30,None,18:30-21:0,None,10:0-11:30
bXuHmdgo3DM7JIYNXN4Ndg,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0
WghcqSAGCzKOhprLblYWVA,6:0-20:0,6:0-20:0,6:0-20:0,6:0-20:0,6:0-20:0,8:0-13:0,None
KbSoYXHUz_Bjo-v0VWHDrw,None,None,None,None,None,None,None
